Symbol,Name,Currency,Stock Exchange Long,Stock Exchange Short,Timezone Name,,bad_ticker
AGX,"Argan, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AGYS,"Agilysys, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AHC,A. H. Belo Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AHH,Armada Hoffler Properties Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AHL,Aspen Insurance Holdings Limited,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AHT,"Ashford Hospitality Trust, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AI,Arlington Asset Investment Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIG,American International Group Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIMC,Altra Industrial Motion Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AIN,Albany International Corp.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIQ,GLB X FUNDS/FUTURE ANALYTICS TE,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AIR,AAR Corp.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIT,Applied Industrial Technologies,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIV,Apartment Investment and Management Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AIZ,"Assurant, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AJG,Arthur J Gallagher & Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AKAM,"Akamai Technologies, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AKAO,Achaogen Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AKBA,Akebia Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AKR,Acadia Realty Trust,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AKRX,"Akorn, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AKS,AK Steel Holding Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AL,Air Lease Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALB,Albemarle Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALCO,"Alico, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALDR,Alder Biopharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALE,ALLETE Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALEX,Alexander & Baldwin Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALG,"Alamo Group, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALGN,"Align Technology, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALGT,Allegiant Travel Company,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALIM,Alimera Sciences Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALK,"Alaska Air Group, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALKS,Alkermes Plc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALL,Allstate Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALLE,Allegion PLC,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALNY,"Alnylam Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALSN,Allison Transmission Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALTR,Altair Engineering Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ALX,"Alexander's, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ALXN,"Alexion Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMAG,"AMAG Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMAT,"Applied Materials, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMBA,Ambarella Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMBC,"Ambac Financial Group, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMBR,Amber Road Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AMC,AMC Entertainment Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AMCX,AMC NETWORKS INC Common Stock,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMD,"Advanced Micro Devices, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AME,"AMETEK, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AMED,Amedisys Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMG,"Affiliated Managers Group, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AMGN,"Amgen, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMKR,"Amkor Technology, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMNB,American National BankShares Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMP,"Ameriprise Financial, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AMRC,Ameresco Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AMRS,Amyris Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMSC,American Superconductor Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMSF,"Amerisafe, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMSWA,"American Software, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMT,American Tower Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AMTD,TD Ameritrade Holding Corp.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMWD,American Woodmark Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AMZN,"Amazon.com, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AN,"AutoNation, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ANAT,American National Insurance Company,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ANDE,Andersons Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ANF,Abercrombie & Fitch Co.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ANGI,ANGI Homeservices Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ANGO,"AngioDynamics, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ANH,ANWORTH MORTGAGE ASSET CORP REIT Common Stock,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ANIK,Anika Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ANIP,ANI Pharmaceuticals Inc Common Stock,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
