Symbol,Name,Currency,Stock Exchange Long,Stock Exchange Short,Timezone Name,,bad_ticker
CYAD,CELYAD SA/ADR,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYAN,CYANOTECH CORP,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYBE,CyberOptics Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYBR,Cyberark Software Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYCC,Cyclacel Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYCCP,Cyclacel Pharmaceuticals Inc 6% Conv. Pref. Shrs,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYD,China Yuchai International Limited,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
CYH,Community Health Systems,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
CYOU,Changyou.Com Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYRN,Cyren Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYRX,CryoPort Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYTK,"Cytokinetics, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYTR,CytRx Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CYTX,Cytori Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CZFC,Citizens First Corp.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CZNC,Citizens & Northern Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CZR,Caesars Entertainment Corporation Common Stock,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CZWI,Citizens Community Bancorp Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
CZZ,Cosan Ltd,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
D,Dominion Energy Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DAC,Danaos Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DAIO,Data I/O Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DAKT,"Daktronics, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DAL,"Delta Air Lines, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DALI,1ST TR EXCHANGE/DORSEYWRIGHT DALI 1,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DAN,Dana Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DAR,Darling Ingredients Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DARE,Dare Bioscience Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DATA,Tableau Software Inc Class A,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DAVA,Endava PLC - ADR,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DAVE,"Famous Dave's of America, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DAX,GLB X FUNDS/DAX GERMANY ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DB,Deutsche Bank AG,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DBD,Diebold Nixdorf Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DBVT,DBV TECHNOLOGIE/S ADR,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DBX,Dropbox Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DCAR,Dropcar Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DCI,"Donaldson Company, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DCIX,Performance Shipping Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DCO,Ducommun Incorporated,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DCOM,"Dime Community Bancshares, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DCP,DCP Midstream LP,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DCPH,Deciphera Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DDBI,LEGG MASON ETF/DEVELOPED EX-US DIV,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DDD,3D Systems Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DDE,"Dover Downs Gaming & Entertainment, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DDMX,DD3 ACQUISITION/SH SH,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DDS,"Dillard's, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DDT,DILLARDS CAP TRUST I 7.50% CAP SECS,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DE,Deere & Company,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DEA,Easterly Government Properties Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DECK,Deckers Outdoor Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DEI,"Douglas Emmett, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DELT,Delta Technology Holdings Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DENN,Denny's Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DEO,Diageo plc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DERM,Dermira Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DESP,Despegar.com Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DEST,Destination Maternity Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DF,Dean Foods Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DFBH,DFB HEALTHCARE/SH,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DFFN,Diffusion Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DFIN,Donnelley Financial Solutions Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DFNL,DAVIS FUNDAMENT/SELECT FINL ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DFRG,Del Frisco's Restaurant Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DFS,Discover Financial Services,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DFVL,BARCLAYS IPATH US TRES 5YR BULL ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DFVS,BARCLAYS IPATH US TRES 5YR BEAR ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DG,Dollar General Corp.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DGICA,Donegal Group Inc. Class A,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGICB,Donegal Group Inc. Class B,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGII,Digi International Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGLD,CS VELOCITYSHARE 3X INVERSE GOLD ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGLY,"Digital Ally, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGRE,WISDOMTREE TR/EMERGING MKTS QLTY,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGRS,WISDOMTREE TR/US SMALL CAP QLTY D,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGRW,WISDOMTREE TR/US QLTY DIVID GR FD,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DGX,Quest Diagnostics Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DHI,D. R. Horton Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DHIL,"Diamond Hill Investment Group, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DHR,Danaher Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DHT,DHT Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DHX,DHI Group Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DHXM,DHX Media Ltd.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DIN,Dine Brands Global Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DINT,DAVIS FUNDAMENT/SELECT INTL ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DIOD,Diodes Incorporated,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DIS,Walt Disney Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DISCA,DISCOVERY COMMUNICATIONS INC. Common Stock,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DISCB,Discovery Inc Series B,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DISCK,Discovery Inc Series C,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DISH,DISH Network Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DJCO,Daily Journal Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DK,Delek US Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DKL,Delek Logistics Partners LP,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DKS,Dicks Sporting Goods Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DKT,DEUTSCHE BK CONT CAP TST V 8.05% PRF,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DL,China Distance Education Hldgs Ltd,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DLB,"Dolby Laboratories, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DLBS,BARCLAY BK IPAT US LNG BOND BEAR ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DLHC,DLH Holdings Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DLNG,Dynagas LNG Partners LP,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DLPH,Delphi Technologies PLC,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DLPN,Dolphin Entertainment Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DLR,DIGITAL RLTY TR/SH,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DLTH,Duluth Holdings Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DLTR,"Dollar Tree, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DLX,Deluxe Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DMLP,Dorchester Minerals LP,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DMPI,DelMar Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DMRC,Digimarc Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DNBF,DNB Financial Corp Common Stock,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DNJR,Golden Bull Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DNKN,Dunkin Brands Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DNLI,Denali Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DNOW,NOW Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DNR,Denbury Resources Inc.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DO,Diamond Offshore Drilling Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DOC,Physicians Realty Trust,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DOCU,Docusign Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DOGZ,Dogness International Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DOMO,Domo Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DOOO,BRP Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DOOR,Masonite International Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DORM,Dorman Products Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DOV,Dover Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DOVA,Dova Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DOX,Amdocs Limited,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DPLO,Diplomat Pharmacy Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DPZ,"Domino's Pizza, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DQ,Daqo New Energy Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DRAD,Digirad Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DRD,DRDGOLD Ltd.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DRE,Duke Realty Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DRH,DiamondRock Hospitality Company,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DRI,"Darden Restaurants, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DRIO,DarioHealth Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DRIV,GLB X FUNDS/AUTONOMOUS & ELEC V,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DRNA,Dicerna Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DRQ,"Dril-Quip, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DRRX,DURECT Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DRUA,DMNN ENRG 2016 JNR SRS A SUB NTS,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DRYS,DryShips Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DS,Drive Shack Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DSGX,Descartes Systems Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DSKE,Daseke Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DSLV,CS VELOCITYSHARES 3X INV SILVER ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DSPG,"DSP Group, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DSW,DSW Inc.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DSWL,"Deswell Industries, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DSX,Diana Shipping Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DTE,DTE Energy Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DTEA,DavidsTea Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DTJ,DTE ENRG  5.375 SRS B JNR SUB DEBENT,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DTQ,DTE ENERGY 5.25 SRS C JUN SUB DEBENT,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DTUL,BARCLAY BK IPATH US TR 2 YR BULL ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DTUS,BARCLAY BK IPATH US TR 2 YR BEAR ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DTW,DTE ENERGY 5 25 SRS E JNR SUB DEBENT,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DTY,DTE ENERGY SRS F 6.00 JNR SUB DEBENT,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DTYL,BARCLAY BK IPAT US TR 10 YR BULL ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DTYS,BARCLAY BK IPAT US TR 10 YR BEAR ETN,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DUK,Duke Energy Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DUKB,DUKE ENERGY 5.625% JUNR SUBOR DEBENT,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DUKH,DUKE ENERGY 5.125% JUN SUB DEBENT,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DUSA,DAVIS FUNDAMENT/SELECT US EQUITY ET,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DVA,Davita Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DVAX,Dynavax Technologies Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DVCR,Diversicare Healthcare Services Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DVD,"Dover Motorsports, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DVN,Devon Energy Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DVY,iShares Select Dividend ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWAQ,PowerShares Dynamic OTC Portfolio,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWAT,ARROW INVESTMEN/DWA TACTICAL ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWCR,ARROW INVESTMEN/DWA CTRY ROTATION E,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWDP,DowDuPont Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DWFI,SPDR S TR/DORSEY WRIGHT FXD IN ALLO,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWIN,INVESCO EXCHANG/DWA TACTICAL MULTI-,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWLD,DAVIS FUNDAMENT/SELECT WORLDWIDE ET,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWLV,Invesco Taxable Municipal Bond ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWMC,ADVISORSHARES T/DORSEY WRIGHT MICRO,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWPP,1ST TR EXCHANGE/DORSEY WRIGHT PEOPL,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWSH,ADVISORSHARES T/DORSEY WRIGHT SHORT,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DWSN,Dawson Geophysical Co,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DX,Dynex Capital Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DXB,DEUTSCHE CONTNGT CAP 6.55% TRUPS,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DXC,DXC Technology Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DXCM,"DexCom, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DXGE,WISDOMTREE TR/GERMANY HEDGED EQUI,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DXJS,WISDOMTREE TR/JAPAN SMALLCAP HEDG,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DXLG,Destination XL Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DXPE,DXP Enterprises Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DXYN,Dixie Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DY,"Dycom Industries, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
DYNT,Dynatronics Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DYSL,Dynasil Corporation of America,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
DZSI,DASAN Zhone Solutions Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
E,Eni SpA,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EA,Electronic Arts Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EAB,ENTERGY ARKS FST MTGE 4.90% SRS BND,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EAE,ENTERGY ARK 4.75% SRS FIRST MORT BDS,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EAF,GrafTech International Ltd,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EAGL,PLATINUM EAGLE/SH CL B,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EAI,ENTERGY AR INC/1ST MTG BD 4.875% SE,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EARN,Ellington Residential Mortgage REIT,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EARS,Auris Medical Holding AG,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EAST,Eastside Distilling Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EAT,"Brinker International, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EB,Eventbrite Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EBAY,eBay Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EBAYL,EBAY 6 NTS,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EBF,"Ennis, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EBIX,Ebix Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EBMT,Eagle Bancorp Montana Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EBR,CENTRAIS ELETRI/S ADR,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EBR.B,CENTRAIS ELETRI/S ADR,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EBS,Emergent Biosolutions Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EBSB,Meridian Bancorp Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EBTC,"Enterprise Bancorp, Inc",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EC,Ecopetrol SA,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECA,Encana Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECCA,EAGLE POINT CR/PFD SER A 7.75%,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECCB,EAGLE POINT CR/7.75% RED PFD SH S,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECCX,EAGLE POINT CREDIT 6.6875 NTS,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECCY,EAGLE POINT CREDIT COMPANY 6.75 NTS,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECHO,"Echo Global Logistics, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ECL,Ecolab Inc.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECOL,US Ecology Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ECOM,ChannelAdvisor Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECOR,Electrocore,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ECPG,"Encore Capital Group, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ECR,Eclipse Resources Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ECT,Eca Marcellus Trust I,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ED,"Consolidated Edison, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EDAP,Edap Tms SA,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EDBI,LEGG MASON ETF/EMERGING MKTS DIVSF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EDGE,Edge Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EDIT,Editas Medicine Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EDN,Empresa Distribuidora y Cmrz Nrt SA,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EDNT,Edison Nation Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EDRY,EuroDry Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EDTX,EDTECHX HOLDING/SH,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EDU,New Oriental Education & Tech Grp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EDUC,Educational Development Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EE,El Paso Electric Company,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EEFT,"Euronet Worldwide, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EEI,Ecology and Environment,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EEMA,ISHARES INC/MSCI EMERGING MKTS,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EEX,Emerald Expositions Events Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EFAS,GLB X FUNDS/MSCI SUPERDIVIDEND,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EFBI,Eagle Financial Bancorp Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EFC,Ellington Financial,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EFII,"Electronics For Imaging, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EFOI,Energy Focus Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EFSC,Enterprise Financial Services Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EFX,Equifax Inc.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EGAN,eGain Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EGBN,"Eagle Bancorp, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EGHT,"8x8, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EGLE,Eagle Bulk Shipping Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EGO,Eldorado Gold Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EGOV,NIC Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
EGP,Eastgroup Properties Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
EGRX,Eagle Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
