,city,temp_min,temp_max,humidity,latitude,longitude,clouds,wind_speed,date_time,country
83,Biak,297.486,297.486,97,-0.91,122.88,0,1.62,1540840049,ID
84,Gafanha da Encarnacao,284.15,285.15,81,40.62,-8.73,75,4.6,1540837800,PT
85,Chicama,293.15,293.15,77,-7.84,-79.15,20,4.1,1540836000,PE
86,Teeli,255.786,255.786,51,51.01,90.2,36,1.12,1540840050,RU
87,Hamilton,298.15,298.15,73,32.3,-64.78,40,3.1,1540835700,BM
88,Nhulunbuy,298.15,298.15,88,-12.18,136.78,56,3.37,1540837800,AU
89,Atar,305.986,305.986,21,20.52,-13.05,0,1.92,1540840051,MR
90,Nanortalik,273.386,273.386,98,60.14,-45.24,0,13.87,1540840051,GL
91,Tuatapere,279.636,279.636,100,-46.13,167.69,92,9.72,1540840051,NZ
92,Ponta do Sol,296.811,296.811,87,-20.63,-46.0,48,2.32,1540839810,BR
93,Mitsamiouli,297.15,297.15,69,-11.38,43.28,20,1.0,1540836000,KM
94,Gizo,295.15,297.15,24,31.8,34.94,0,3.6,1540837200,IL
95,Bakchar,273.986,273.986,87,57.02,82.07,92,2.97,1540840052,RU
96,Codrington,285.411,285.411,97,-28.95,153.24,24,1.07,1540840053,AU
97,Cabo San Lucas,302.15,304.15,54,22.89,-109.91,40,2.22,1540835040,MX
98,Ginir,285.336,285.336,88,7.14,40.71,0,1.17,1540840053,ET
99,Florianopolis,295.15,295.15,64,-27.6,-48.55,75,3.1,1540836000,BR
100,Arraial do Cabo,296.15,298.15,64,-22.97,-42.02,75,4.1,1540839600,BR
101,Itaituba,309.15,309.15,50,-4.26,-55.99,20,5.7,1540836000,BR
102,Padang,300.736,300.736,100,-0.92,100.36,32,1.32,1540840054,ID
103,Ust-Kuyga,268.686,268.686,83,70.0,135.55,88,3.47,1540840054,RU
104,Okhotsk,266.711,266.711,100,59.36,143.24,8,2.17,1540840054,RU
105,Komsomolskiy,263.211,263.211,84,67.55,63.78,68,1.27,1540840055,RU
106,Bonavista,287.886,287.886,73,48.65,-53.11,88,8.07,1540840055,CA
107,Touros,303.236,303.236,65,-5.2,-35.46,0,7.02,1540840056,BR
108,Sinyavskoye,281.161,281.161,81,47.28,39.28,0,1.17,1540840056,RU
109,Marshall,288.75,290.95,40,39.39,-87.69,1,6.2,1540838100,US
110,Vestmannaeyjar,277.186,277.186,98,63.44,-20.27,68,2.37,1540840056,IS
111,Houston,300.95,302.55,39,29.76,-95.37,1,3.6,1540839300,US
112,Hami,273.936,273.936,79,42.84,93.51,0,1.32,1540840057,CN
113,Camocim,304.886,304.886,60,-2.9,-40.84,0,6.37,1540840057,BR
114,Puerto Carreno,306.15,306.15,55,6.19,-67.49,20,1.62,1540836000,CO
115,Yellowknife,270.15,270.15,86,62.45,-114.38,90,4.1,1540837320,CA
116,Busselton,287.486,287.486,100,-33.64,115.35,32,8.47,1540840058,AU
117,Tazovskiy,260.961,260.961,82,67.47,78.7,44,2.07,1540840058,RU
118,Evensk,269.336,269.336,100,61.92,159.24,68,2.42,1540840058,RU
119,Puerto Ayora,300.15,300.15,54,-0.74,-90.35,0,4.1,1540836000,EC
120,Qaanaaq,254.411,254.411,100,77.48,-69.36,0,5.82,1540840059,GL
121,Port Lincoln,284.711,284.711,100,-34.72,135.86,8,2.77,1540840059,AU
122,Tabuk,293.686,293.686,95,17.41,121.44,100,4.67,1540840059,PH
123,Sisimiut,267.136,267.136,100,66.94,-53.67,68,0.77,1540840059,GL
124,Wagga Wagga,284.15,284.15,76,-35.12,147.37,0,2.6,1540836000,AU
125,Vardo,280.15,286.15,66,39.62,-77.74,40,9.8,1540839300,US
126,Pascagoula,298.15,302.55,47,30.37,-88.56,1,4.1,1540839180,US
127,Banyo,295.061,295.061,74,6.75,11.81,76,3.47,1540840060,CM
128,Kavieng,301.711,301.711,100,-2.57,150.8,88,1.42,1540840061,PG
129,Dalvik,274.15,274.15,88,57.79,14.13,75,6.2,1540837200,SE
130,Limbang,298.15,299.15,100,4.75,115.01,75,1.0,1540837800,BN
131,Valparaiso,284.15,285.95,54,41.47,-87.06,75,2.6,1540838700,US
132,Lebu,288.15,288.15,41,8.96,38.73,20,4.1,1540836000,ET
133,Marsh Harbour,298.486,298.486,100,26.54,-77.06,0,6.22,1540840062,BS
134,Salalah,299.15,299.15,65,17.01,54.1,0,1.5,1540835400,OM
135,Peniche,285.15,286.15,71,39.36,-9.38,75,3.6,1540837800,PT
136,Cape Town,290.15,290.15,88,-33.93,18.42,90,10.8,1540836060,ZA
137,Ribeira Grande,293.15,293.15,68,38.52,-28.7,40,9.3,1540837800,PT
138,Mar del Plata,289.286,289.286,46,-46.43,-67.52,0,3.27,1540840063,AR
139,Patitirion,293.811,293.811,94,39.15,23.87,44,7.17,1540840063,GR
140,Saint-Pierre,278.15,278.15,86,48.95,4.24,90,9.8,1540837800,FR
141,Dingle,297.836,297.836,85,11.0,122.67,20,4.72,1540840064,PH
142,Stamford,283.75,287.55,63,41.05,-73.54,75,7.2,1540839360,US
143,Yingcheng,286.15,286.15,62,30.93,113.57,0,1.0,1540836000,CN
144,Upernavik,267.086,267.086,100,72.79,-56.15,68,4.07,1540840065,GL
145,Bara,301.686,301.686,60,10.41,10.6,12,2.07,1540840065,NG
146,Avera,294.95,296.45,23,33.19,-82.53,1,4.6,1540838100,US
147,Skanderborg,277.15,278.15,86,56.04,9.93,92,7.2,1540839240,DK
148,Mahebourg,296.15,296.15,94,-20.41,57.7,75,1.0,1540836000,MU
149,Saint-Francois,277.15,277.15,93,46.42,3.91,90,5.1,1540837800,FR
150,Flinders,283.15,283.15,100,-34.58,150.85,0,2.42,1540836000,AU
151,Samarai,299.436,299.436,100,-10.62,150.67,76,4.22,1540840067,PG
152,Huilong,283.036,283.036,70,28.89,110.18,0,0.92,1540840067,CN
153,Redmond,282.05,284.85,86,47.67,-122.12,90,4.1,1540837380,US
154,Bethel,273.15,273.15,100,60.79,-161.76,90,8.2,1540836000,US
155,Yumen,276.661,276.661,54,40.29,97.04,44,4.82,1540840068,CN
156,Pitimbu,302.15,302.15,66,-7.47,-34.81,75,5.7,1540836000,BR
157,Severo-Kurilsk,274.961,274.961,100,50.68,156.12,12,1.52,1540840069,RU
158,Castro,287.286,287.286,86,-42.48,-73.76,76,0.17,1540840069,CL
159,Rocha,296.686,296.686,61,-34.48,-54.34,8,4.32,1540840070,UY
160,Hobart,282.15,282.15,76,-42.88,147.33,0,3.22,1540837800,AU
161,Taksimo,260.411,260.411,64,56.36,114.84,32,0.72,1540840070,RU
162,Banjar,294.386,294.386,91,-7.37,108.54,64,1.07,1540840070,ID
163,San Luis,296.786,296.786,70,-33.3,-66.34,12,5.77,1540839922,AR
164,Pevek,258.886,258.886,100,69.7,170.27,8,3.67,1540840071,RU
165,Ahipara,285.736,285.736,100,-35.17,173.16,64,8.42,1540840072,NZ
166,Port Macquarie,285.15,285.15,93,-31.43,152.91,68,1.27,1540836000,AU
167,Tuktoyaktuk,267.15,267.15,92,69.44,-133.03,90,8.2,1540838400,CA
168,Longyearbyen,272.15,272.15,74,78.22,15.63,75,13.4,1540839000,NO
169,Husavik,276.636,276.636,100,50.56,-96.99,92,4.77,1540840072,CA
170,Tanout,305.486,305.486,17,14.97,8.88,24,3.77,1540840073,NE
171,Naze,302.15,302.15,79,5.43,7.07,75,2.1,1540836000,NG
172,Poum,284.15,284.15,87,41.28,20.71,40,1.5,1540837800,MK
173,Motril,278.15,279.15,86,36.75,-3.52,20,2.1,1540837800,ES
174,Sibolga,294.536,294.536,100,1.74,98.78,76,0.67,1540840074,ID
175,Ballina,277.15,277.15,80,54.11,-9.15,90,6.2,1540839600,IE
176,Sao Jose da Coroa Grande,302.461,302.461,70,-8.9,-35.15,8,6.57,1540840074,BR
177,Marsaxlokk,296.15,296.15,60,35.84,14.54,75,5.1,1540836900,MT
178,Jabinyanah,291.15,291.15,23,35.03,10.91,20,5.1,1540836000,TN
179,Bat Khela,285.086,285.086,39,34.62,71.97,12,1.62,1540840075,PK
180,Kudahuvadhoo,299.536,299.536,100,2.67,72.89,92,5.07,1540840075,MV
181,Margate,282.15,282.15,76,-43.03,147.26,0,2.52,1540837800,AU
182,Saint-Joseph,285.15,285.15,87,43.56,6.97,92,2.1,1540837800,FR
183,Saint-Felicien,276.15,276.15,86,48.65,-72.45,75,2.6,1540836000,CA
184,Eureka,287.05,287.15,82,40.8,-124.16,75,1.5,1540838100,US
185,Samoded,268.686,268.686,88,63.61,40.52,0,2.87,1540840077,RU
186,Lorengau,301.486,301.486,100,-2.02,147.27,68,3.22,1540839867,PG
187,Petropavlovsk-Kamchatskiy,276.15,276.15,100,53.05,158.65,75,2.0,1540836000,RU
188,Klaksvik,280.15,280.15,70,62.23,-6.59,80,8.7,1540839000,FO
189,Aromashevo,272.486,272.486,81,56.86,68.64,56,5.17,1540840077,RU
190,Airai,289.486,289.486,79,-8.93,125.41,0,0.32,1540839861,TL
191,Alice Springs,292.15,292.15,82,-23.7,133.88,36,1.62,1540837800,AU
192,Prince Rupert,281.15,281.15,93,54.32,-130.32,90,6.2,1540838100,CA
193,Kaitangata,280.286,280.286,96,-46.28,169.85,100,3.57,1540840078,NZ
194,Bonthe,301.136,301.136,84,7.53,-12.5,68,2.07,1540840078,SL
195,Geraldton,276.15,276.15,85,49.72,-86.95,90,2.6,1540836000,CA
196,Saint-Claude,278.15,279.15,87,46.39,5.86,75,2.1,1540837800,FR
197,Aleksandro-Nevskiy,273.986,273.986,96,53.48,40.21,92,6.57,1540840079,RU
198,Hofn,274.15,274.15,100,64.25,-15.21,75,3.6,1540839600,IS
199,Hasaki,284.15,285.15,87,35.73,140.83,40,2.6,1540836000,JP
200,Znamenskoye,272.661,272.661,88,57.13,73.82,64,4.22,1540840080,RU
201,Caravelas,296.836,296.836,100,-17.73,-39.27,92,9.42,1540840080,BR
202,Maniitsoq,268.686,268.686,100,65.42,-52.9,0,2.17,1540840081,GL
203,Orlik,266.686,266.686,90,52.51,99.83,92,0.87,1540840081,RU
204,Lata,279.961,279.961,47,30.78,78.62,0,1.32,1540840081,IN
205,Darhan,267.911,267.911,61,49.49,105.92,0,1.17,1540840082,MN
206,Huarmey,296.236,296.236,55,-10.07,-78.15,8,1.87,1540840082,PE
207,Orje,274.15,274.15,59,59.48,11.66,75,5.7,1540839000,NO
208,Tacuarembo,299.986,299.986,44,-31.73,-55.98,0,4.02,1540840082,UY
209,Daru,296.786,296.786,100,7.99,-10.85,80,1.67,1540840083,SL
210,San-Pedro,300.711,300.711,81,4.75,-6.64,48,3.87,1540840083,CI
211,Gambela,294.286,294.286,72,8.25,34.59,20,1.22,1540840083,ET
212,Lompoc,291.15,299.25,63,34.64,-120.46,1,6.27,1540838100,US
213,Inhambane,296.15,296.15,69,-23.87,35.38,20,4.92,1540836000,MZ
214,Luderitz,292.15,292.15,77,-26.65,15.16,92,4.1,1540836000,NA
215,Port Antonio,303.15,303.15,70,18.18,-76.45,20,3.1,1540836000,JM
216,Foki,270.836,270.836,67,56.69,54.35,0,4.67,1540840084,RU
217,Sao Gabriel da Cachoeira,303.986,303.986,74,-0.13,-67.09,64,1.22,1540840085,BR
218,Cidreira,294.836,294.836,74,-30.17,-50.22,56,6.82,1540840085,BR
219,Portland,284.85,285.95,83,45.52,-122.67,90,4.6,1540839180,US
220,Luganville,298.711,298.711,100,-15.51,167.18,0,1.42,1540840085,VU
221,Salinas,288.15,290.95,59,36.67,-121.66,1,2.1,1540838100,US
222,Westport,277.15,277.15,80,53.8,-9.52,90,6.2,1540839600,IE
223,Labuhan,294.711,294.711,96,-2.54,115.51,20,1.02,1540840086,ID
224,Araouane,304.786,304.786,25,18.9,-3.53,0,2.12,1540840087,ML
225,Lensk,273.311,273.311,84,60.71,114.91,0,4.37,1540840087,RU
226,Tromso,275.15,275.15,64,69.65,18.96,0,7.2,1540839000,NO
227,Kommunisticheskiy,264.686,264.686,76,61.68,64.48,0,3.17,1540840087,RU
228,Riohacha,303.15,303.15,74,11.54,-72.91,75,4.1,1540836000,CO
229,Punta Cardon,305.736,305.736,57,11.61,-70.22,0,6.62,1540840088,VE
230,Chingirlau,276.136,276.136,98,51.09,54.08,68,5.67,1540840088,KZ
231,Kahului,296.45,299.85,71,20.89,-156.47,1,2.97,1540835760,US
232,Elat,296.211,296.211,90,2.91,11.16,44,1.37,1540840089,CM
233,Spydeberg,274.15,274.15,59,59.61,11.09,75,5.7,1540839000,NO
234,Harper,296.95,297.85,64,30.3,-99.24,40,5.7,1540836900,US
235,Kulhudhuffushi,300.686,300.686,100,6.62,73.07,44,2.07,1540840089,MV
236,Humaita,296.15,299.15,60,-24.93,-65.37,90,5.1,1540836000,AR
237,Sawakin,300.411,300.411,88,19.1,37.33,12,2.72,1540839816,SD
238,Lavrentiya,274.686,274.686,100,65.58,-170.99,80,8.32,1540840090,RU
239,Alofi,297.15,297.15,94,-19.06,-169.92,40,1.5,1540836000,NU
240,Durban,278.15,279.15,86,43.54,0.58,92,7.2,1540837800,FR
241,Nosy Varika,292.386,292.386,100,-20.58,48.53,92,1.62,1540840091,MG
242,Lucea,304.15,304.15,66,18.44,-78.17,20,7.2,1540836000,JM
243,Nouadhibou,297.15,297.15,53,20.93,-17.03,12,7.2,1540836000,MR
244,Chuy,295.311,295.311,78,-33.69,-53.46,8,6.17,1540840023,UY
245,Sambava,297.211,297.211,100,-14.27,50.17,76,2.02,1540840092,MG
246,Seddon,283.586,283.586,100,-41.67,174.07,92,1.37,1540840092,NZ
247,Linda,289.15,292.15,39,39.13,-121.55,1,6.7,1540838400,US
248,Mbekenyera,298.836,298.836,48,-10.0,38.98,64,1.77,1540840092,TZ
249,Okha,269.961,269.961,88,53.59,142.95,0,2.72,1540840093,RU
250,Ancud,286.786,286.786,97,-41.87,-73.83,92,1.32,1540839811,CL
251,Ketchikan,281.45,282.55,89,55.34,-131.65,90,10.8,1540835760,US
252,Dumas,302.186,302.186,98,21.09,72.71,0,6.17,1540839886,IN
253,Juneau,279.85,280.35,85,58.3,-134.42,75,1.37,1540835760,US
254,George,298.736,298.736,98,6.63,3.35,88,2.12,1540840094,NG
255,Magistralnyy,267.636,267.636,76,56.17,107.45,64,1.12,1540840094,RU
256,Hervey Bay,295.436,295.436,100,-25.3,152.85,76,4.67,1540840094,AU
257,Carutapera,304.561,304.561,64,-1.2,-46.02,0,5.42,1540840061,BR
258,Constitucion,293.15,293.15,45,23.99,-104.67,40,1.82,1540835160,MX
259,Aktau,286.15,286.15,87,43.65,51.16,75,4.0,1540837800,KZ
260,Kysyl-Syr,266.661,266.661,86,63.9,122.77,0,1.97,1540840095,RU
261,Porto-Vecchio,287.15,288.15,67,41.59,9.28,80,10.3,1540837800,FR
262,Vila Velha,302.15,302.15,70,-3.71,-38.6,40,6.2,1540839600,BR
263,Norman Wells,268.15,268.15,92,65.28,-126.83,75,1.0,1540836000,CA
264,Raha,297.411,297.411,84,10.89,8.13,12,1.12,1540840096,NG
265,Leningradskiy,263.136,263.136,100,69.38,178.42,0,2.52,1540840096,RU
266,Mikuni,285.15,285.15,87,36.22,136.15,75,5.7,1540839600,JP
267,Qujing,283.286,283.286,99,25.49,103.8,92,1.62,1540840097,CN
268,Wajir,297.636,297.636,79,1.75,40.07,64,1.72,1540840097,KE
269,Grand-Santi,305.336,305.336,62,4.27,-54.38,36,1.27,1540840097,GF
270,Katangli,279.586,279.586,100,51.71,143.23,92,9.77,1540840097,RU
271,Chapais,274.15,274.15,86,49.78,-74.86,90,2.1,1540838400,CA
272,Chicla,282.136,282.136,91,-11.71,-76.27,48,0.62,1540840098,PE
273,Pushkinskiye Gory,273.136,273.136,76,57.02,28.91,48,9.17,1540840098,RU
274,Tura,293.486,293.486,96,25.52,90.21,76,1.17,1540840098,IN
275,Katsuura,288.336,288.336,83,33.93,134.5,76,4.12,1540840099,JP
276,Calvinia,296.586,296.586,30,-31.47,19.78,0,8.17,1540840099,ZA
277,Cam Ranh,297.786,297.786,93,11.92,109.15,24,7.32,1540840099,VN
278,Marzuq,289.461,289.461,60,14.4,46.47,0,1.22,1540840100,YE
279,Yar-Sale,263.661,263.661,100,66.83,70.83,88,2.02,1540839855,RU
280,Talnakh,264.836,264.836,88,69.49,88.39,64,4.37,1540840100,RU
281,Kabarnet,288.15,288.15,93,0.5,35.74,75,2.1,1540837800,KE
282,Novobureyskiy,268.961,268.961,82,49.8,129.88,0,3.57,1540840101,RU
283,Aswan,301.15,301.15,21,24.09,32.9,0,3.6,1540836000,EG
284,Lasa,291.15,292.15,72,34.92,32.53,0,1.5,1540837800,CY
285,Simbahan,302.661,302.661,98,6.3,120.58,80,6.37,1540840101,PH
286,Namalenga,298.336,298.336,37,-10.95,39.1,0,2.57,1540840102,TZ
287,Englewood,293.15,299.65,9,39.65,-104.99,1,4.6,1540838160,US
288,Mandera,295.986,295.986,89,3.94,41.86,8,1.62,1540840102,ET
289,Isiro,296.811,296.811,81,2.77,27.62,0,1.62,1540840102,CD
290,Dindigul,301.15,301.15,61,10.37,77.97,40,0.92,1540836000,IN
291,Karratha,294.161,294.161,75,-20.74,116.85,0,2.77,1540840103,AU
292,Obo,293.886,293.886,97,5.39,26.49,68,2.72,1540840103,CF
293,Pangody,265.286,265.286,77,65.85,74.49,64,1.77,1540840104,RU
294,Jocotitlan,291.15,291.15,59,19.75,-99.92,75,2.6,1540835160,MX
295,Hirado,291.536,291.536,100,33.32,129.49,0,9.17,1540840104,JP
296,Honiara,296.15,296.15,88,-9.43,159.96,40,1.5,1540836000,SB
297,Laguna,302.15,302.15,48,27.52,-110.01,90,0.42,1540834980,MX
298,Emerald,295.161,295.161,88,-23.53,148.16,92,4.87,1540840105,AU
299,Bambous Virieux,296.15,296.15,94,-20.34,57.76,75,1.0,1540836000,MU
300,Beringovskiy,268.686,268.686,100,63.05,179.32,88,3.57,1540840105,RU
301,Martapura,297.461,297.461,100,-3.41,114.85,8,1.67,1540840106,ID
302,Kuroishi,280.961,280.961,93,40.62,140.71,80,1.82,1540840106,JP
303,Machico,291.15,291.15,59,32.7,-16.77,40,2.6,1540837800,PT
