,city,temp_min,temp_max,humidity,latitude,longitude,clouds,wind_speed,date_time,country
381,Pinamopoan,298.386,298.386,100,11.31,124.57,56,3.67,1540840128,PH
382,Walvis Bay,292.15,292.15,72,-22.95,14.51,0,7.7,1540836000,NA
383,Dossor,282.661,282.661,94,47.52,52.98,32,4.12,1540840128,KZ
384,Abu Samrah,284.061,284.061,52,35.3,37.18,0,2.87,1540840129,SY
385,Tynda,260.936,260.936,70,55.15,124.74,0,1.07,1540840129,RU
386,Chiang Klang,297.161,297.161,73,19.29,100.86,92,0.52,1540840129,TH
387,Atzitzintla,288.736,288.736,84,18.9,-97.33,64,1.42,1540840129,MX
388,Camacha,291.15,291.15,59,33.08,-16.33,75,5.1,1540837800,PT
389,Ostrovnoy,266.811,266.811,86,68.05,39.51,44,7.82,1540840130,RU
390,San Cristobal,290.15,290.15,59,-0.39,-78.55,75,7.7,1540836000,EC
391,Namatanai,301.536,301.536,100,-3.66,152.44,36,2.12,1540840130,PG
392,Guerrero Negro,296.486,296.486,80,27.97,-114.04,44,1.97,1540840131,MX
393,Jelenia Gora,284.886,284.886,88,50.9,15.73,76,6.27,1540840131,PL
394,Tilichiki,272.936,272.936,90,60.47,166.1,92,3.02,1540840131,RU
395,Inirida,304.911,304.911,68,3.87,-67.92,44,1.22,1540840131,CO
396,Slave Lake,275.15,275.15,93,55.28,-114.77,75,3.6,1540836000,CA
397,Santiago del Estero,304.236,304.236,58,-27.8,-64.26,0,7.47,1540840132,AR
398,Wewak,296.811,296.811,99,-3.55,143.63,8,1.22,1540840132,PG
399,Sandwick,272.15,272.15,92,54.57,-2.89,0,2.1,1540839000,GB
400,Mehamn,276.15,279.15,87,71.03,27.85,75,7.7,1540839000,NO
401,Mercedes,300.386,300.386,52,-33.25,-58.03,20,4.47,1540840133,UY
402,Leshukonskoye,270.461,270.461,79,64.9,45.76,0,3.72,1540840133,RU
403,Bonfim,309.936,309.936,39,3.36,-59.84,0,5.82,1540840133,GY
404,Maragogi,302.461,302.461,70,-9.01,-35.22,8,6.57,1540840134,BR
405,Kawalu,292.461,292.461,99,-7.38,108.21,92,0.87,1540840134,ID
406,Tete,299.536,299.536,38,-16.16,33.59,0,4.57,1540840134,MZ
407,Saint Anthony,275.15,281.45,58,43.97,-111.68,90,4.6,1540838040,US
408,Kodinsk,274.161,274.161,56,58.6,99.18,12,3.57,1540840135,RU
409,Nishihara,285.05,288.15,80,35.74,139.53,1,2.6,1540839600,JP
410,Jinxiang,281.411,281.411,56,35.07,116.31,0,4.82,1540840136,CN
411,Kasongo,298.961,298.961,74,-4.43,26.67,12,1.17,1540840136,CD
412,Broome,276.15,278.15,86,52.47,1.45,20,2.1,1540839360,GB
413,Palana,275.336,275.336,97,59.08,159.95,92,3.07,1540840137,RU
414,Ipaba,299.15,299.15,69,-19.41,-42.42,75,4.6,1540836000,BR
415,Mandalgovi,267.711,267.711,72,45.76,106.27,0,1.22,1540840137,MN
416,Nemuro,284.686,284.686,100,43.32,145.57,0,7.27,1540840137,JP
417,Polazna,271.15,271.15,74,58.29,56.41,75,5.0,1540837800,RU
418,Yongan,267.786,267.786,76,39.7,113.69,0,0.77,1540840138,CN
419,Vila Franca do Campo,292.15,292.15,72,37.72,-25.43,40,3.6,1540837800,PT
420,Coahuayana,300.086,300.086,61,18.62,-100.35,8,1.32,1540840138,MX
421,Chhatapur,293.061,293.061,96,23.07,86.96,76,1.12,1540840138,IN
422,Beloha,292.811,292.811,73,-25.17,45.06,0,5.92,1540840139,MG
423,Presidente Epitacio,302.186,302.186,58,-21.76,-52.12,76,2.12,1540840139,BR
424,Salacgriva,273.661,273.661,84,57.75,24.36,32,10.62,1540840139,LV
425,Taitung,293.036,293.036,100,22.76,121.15,8,9.72,1540840139,TW
426,General Roca,299.15,299.15,31,-39.03,-67.58,40,2.1,1540836000,AR
427,Shieli,273.886,273.886,66,44.18,66.74,0,1.97,1540840140,KZ
428,Smithers,278.15,278.15,80,54.78,-127.17,90,4.1,1540836000,CA
429,Amga,258.661,258.661,72,60.89,131.98,8,1.12,1540840141,RU
430,Lavumisa,297.811,297.811,50,-27.31,31.88,24,4.82,1540840141,ZA
431,Zaozhuang,280.236,280.236,44,34.86,117.55,0,4.77,1540840144,CN
432,Sibu,298.15,298.15,94,2.29,111.83,75,0.87,1540836000,MY
433,Tautira,302.15,302.15,66,-17.73,-149.15,20,2.6,1540837800,PF
434,Chertkovo,283.211,283.211,84,49.38,40.15,24,2.92,1540840145,RU
435,College,264.85,265.95,89,64.86,-147.8,90,1.67,1540835880,US
436,Inhumas,299.15,304.15,48,-16.36,-49.5,75,3.6,1540836000,BR
437,Gorontalo,296.036,296.036,91,0.54,123.06,12,0.72,1540840146,ID
438,Ukhta,271.836,271.836,68,63.56,53.68,44,4.77,1540840146,RU
439,Kabare,289.686,289.686,100,-1.65,29.38,56,0.87,1540840146,RW
440,Palembang,296.336,296.336,97,-2.99,104.76,56,1.32,1540840147,ID
441,Astorga,276.15,276.15,85,42.46,-6.05,20,4.6,1540839600,ES
442,Skelleftea,262.15,262.15,92,64.75,20.95,0,1.0,1540839000,SE
443,Svodin,293.15,293.15,64,47.91,18.5,0,5.7,1540836900,SK
444,Porto Walter,308.911,308.911,43,-8.27,-72.74,24,1.32,1540840148,BR
445,Saryg-Sep,263.711,263.711,68,51.49,95.55,64,1.27,1540840148,RU
446,Tongren,285.661,285.661,88,27.72,109.18,20,1.07,1540840148,CN
447,Kamenka,272.961,272.961,89,53.19,44.05,80,5.47,1540840148,RU
448,Vidim,280.15,281.15,100,50.47,14.53,90,1.5,1540838400,CZ
449,Haines Junction,265.636,265.636,90,60.75,-137.51,76,1.12,1540840149,CA
450,Doraha,292.661,292.661,85,30.8,76.04,0,2.52,1540840149,IN
451,Selty,268.886,268.886,74,57.31,52.14,48,3.57,1540840149,RU
452,Camaqua,296.086,296.086,65,-30.85,-51.81,44,6.72,1540840143,BR
453,Olinda,300.15,300.15,65,-2.03,-79.75,90,3.1,1540836000,EC
454,Guaiba,298.15,298.15,57,-30.11,-51.33,75,5.1,1540836000,BR
455,Meulaboh,299.536,299.536,100,4.14,96.13,8,0.82,1540840150,ID
456,Taiyuan,276.15,276.15,64,37.86,112.56,0,2.0,1540837800,CN
457,Enid,296.95,298.15,54,36.4,-97.88,40,6.2,1540839360,US
458,Narrabri,287.961,287.961,87,-30.33,149.78,0,3.42,1540840117,AU
459,Chilca,292.15,292.15,34,-13.22,-72.34,75,6.7,1540837800,PE
460,Muros,280.15,280.15,93,42.77,-9.06,75,4.1,1540837800,ES
461,Puerto Colombia,305.15,305.15,66,10.99,-74.96,75,2.6,1540836000,CO
462,San Jose,294.786,294.786,96,15.79,120.99,100,1.57,1540840034,PH
463,Rodrigues Alves,305.15,305.15,62,-7.74,-72.65,75,3.1,1540836000,BR
464,Casper,292.05,292.05,23,42.87,-106.31,1,12.9,1540835580,US
465,Niquero,302.811,302.811,89,20.04,-77.58,44,3.02,1540840154,CU
466,Ulladulla,283.15,283.15,100,-35.36,150.48,0,4.57,1540836000,AU
467,Kochubey,284.961,284.961,100,44.39,46.54,0,0.32,1540840154,RU
468,Kupang,298.661,298.661,100,-10.16,123.6,0,1.72,1540840155,ID
469,Voznesenye,268.311,268.311,100,61.02,35.48,0,1.72,1540840155,RU
470,Winnemucca,286.45,286.45,30,40.97,-117.74,1,4.6,1540839360,US
471,Plettenberg Bay,292.586,292.586,89,-34.05,23.37,56,4.87,1540840156,ZA
472,Lebyazhye,271.15,271.15,79,59.96,29.42,0,5.0,1540837800,RU
473,Huinan,271.336,271.336,86,42.68,126.04,88,2.77,1540840156,CN
474,Mahajanga,298.15,298.15,65,-15.72,46.32,0,4.1,1540836000,MG
475,Pontianak,298.961,298.961,98,-0.02,109.34,8,1.42,1540840157,ID
476,Port Shepstone,296.936,296.936,78,-30.74,30.45,8,11.02,1540840157,ZA
477,Marsa Matruh,296.15,296.15,64,31.35,27.25,75,3.6,1540836000,EG
478,Olga,290.15,296.45,83,34.11,-118.17,90,2.6,1540837680,US
479,Son La,290.811,290.811,97,21.32,103.9,32,0.37,1540840157,VN
480,Valleyview,274.386,274.386,79,55.07,-117.28,68,2.07,1540840158,CA
481,Vilyuysk,268.461,268.461,86,63.75,121.63,0,2.92,1540840158,RU
482,Teacapan,303.536,303.536,54,22.54,-105.74,20,1.22,1540840158,MX
483,Port Hardy,282.15,282.15,93,50.7,-127.42,75,2.1,1540836000,CA
484,Baykit,271.561,271.561,77,61.68,96.39,68,4.57,1540840159,RU
485,Pisco,295.15,295.15,30,-13.71,-76.2,20,5.7,1540836000,PE
486,Kavaratti,302.886,302.886,99,10.57,72.64,0,2.67,1540840159,IN
487,Yaritagua,300.561,300.561,76,10.08,-69.12,0,1.47,1540840160,VE
488,Kutum,295.236,295.236,18,14.2,24.66,0,4.87,1540840160,SD
